image path：/home/u23211510025/process/val_batch28/C202401622/Step5_cut/C202401622/json_cut_out
ori image path：/home/u23211510025/process/val_batch28/C202401622/Step4_qc/C202401622/C202401622
weightB：/home/u23211510025/process/efficientnet/classify2_iteration/iteration_SNV/iteration4/weightB/0804_1338/Epoch32.pth
threshold_B:0.97
weightS：/home/u23211510025/process/efficientnet/classify2_iteration/iteration_SNV/iteration4/weightS/0803_1049/Epoch30.pth
threshold_S:0.9
Image:	pred:	prob：	img_type:
0.7437_good_tile_19_50_9.png	normal	0.006853136699646711	Big
0.9876_good_tile_51_14_4.png	normal	0.006514387205243111	Big
0.9986_good_tile_14_32_3.png	normal	0.0011195105034857988	Big
0.9934_good_tile_49_11_5.png	normal	0.09925571084022522	Small
0.9991_good_tile_15_16_4.png	normal	0.011807727627456188	Small
0.9726_good_tile_24_59_1.png	normal	0.08863110840320587	Big
0.4801_good_tile_37_59_8.png	normal	0.179519385099411	Big
0.9963_good_tile_27_61_2.png	normal	0.040965594351291656	Small
0.9960_good_tile_40_59_3.png	normal	0.01471980195492506	Small
0.8570_good_tile_18_57_4.png	normal	0.0033322065137326717	Small
0.8392_good_tile_55_43_6.png	normal	0.0016476018354296684	Big
0.8678_good_tile_48_12_1.png	normal	0.0023185485042631626	Big
0.9880_good_tile_46_17_2.png	normal	0.007850701920688152	Big
0.7298_good_tile_44_47_0.png	normal	0.0022079013288021088	Big
0.9949_good_tile_28_13_0.png	normal	0.00019454010180197656	Big
0.9802_good_tile_51_29_9.png	normal	0.051123086363077164	Small
0.9496_good_tile_42_62_3.png	normal	0.01530240848660469	Big
0.6718_good_tile_38_19_2.png	normal	0.0021968947257846594	Big
0.4650_good_tile_36_59_7.png	normal	0.039559122174978256	Small
0.9994_good_tile_34_43_0.png	normal	0.10527703911066055	Big
0.9963_good_tile_37_41_3.png	normal	0.09013330191373825	Small
0.9961_good_tile_35_48_0.png	normal	0.046125516295433044	Big
0.9476_good_tile_53_51_5.png	normal	0.01481463760137558	Small
0.9645_good_tile_38_37_0.png	normal	0.28474748134613037	Big
0.9996_good_tile_22_41_3.png	normal	0.009440043941140175	Small
0.9558_good_tile_52_27_2.png	normal	0.01646743156015873	Big
0.8621_good_tile_19_59_4.png	normal	0.10109728574752808	Small
0.9297_good_tile_26_27_1.png	normal	0.11428878456354141	Big
0.9439_good_tile_36_61_4.png	normal	0.018061190843582153	Small
0.9867_good_tile_20_18_4.png	normal	0.22784535586833954	Small
0.9964_good_tile_44_53_1.png	normal	0.13881783187389374	Big
0.5204_good_tile_43_60_14.png	normal	0.08171424269676208	Big
0.9951_good_tile_44_49_0.png	normal	0.00048399067600257695	Big
0.6249_good_tile_60_27_9.png	normal	0.2734662890434265	Big
0.9869_good_tile_27_40_0.png	normal	0.0047376034781336784	Big
0.9882_good_tile_41_62_5.png	normal	0.004536506719887257	Big
1.0000_good_tile_27_12_0.png	normal	0.028057534247636795	Big
0.9424_good_tile_49_40_9.png	normal	0.17852045595645905	Small
0.9205_good_tile_51_32_11.png	normal	0.36399903893470764	Big
0.9992_good_tile_57_31_0.png	normal	0.0002353632589802146	Big
0.9971_good_tile_53_33_5.png	normal	0.03866272792220116	Small
0.9996_good_tile_21_14_4.png	normal	0.21757474541664124	Small
0.9960_good_tile_54_50_7.png	normal	0.34473884105682373	Small
1.0000_good_tile_50_25_0.png	normal	0.7758159041404724	Big
0.5039_good_tile_49_39_3.png	normal	0.5800937414169312	Big
0.6258_good_tile_28_56_3.png	normal	0.019468775019049644	Small
0.5967_good_tile_44_31_6.png	normal	0.14169475436210632	Small
0.8916_good_tile_52_59_0.png	normal	0.12484769523143768	Small
0.9983_good_tile_48_11_2.png	normal	0.20827439427375793	Small
0.2970_good_tile_59_45_4.png	normal	0.1858915388584137	Small
0.9402_good_tile_9_30_2.png	normal	0.14934594929218292	Small
0.7573_good_tile_55_39_1.png	normal	0.4126160144805908	Small
0.9774_good_tile_23_18_4.png	normal	0.0015351856127381325	Small
0.9377_good_tile_29_33_2.png	normal	0.044285550713539124	Big
0.9724_good_tile_54_56_3.png	normal	0.12356863915920258	Small
0.9997_good_tile_32_41_1.png	normal	0.007892320863902569	Big
0.9979_good_tile_51_30_2.png	normal	0.10073141753673553	Small
0.8167_good_tile_48_29_0.png	normal	0.004238684196025133	Big
0.6669_good_tile_26_25_3.png	normal	0.12436842918395996	Small
0.9930_good_tile_47_58_0.png	normal	0.010624255053699017	Big
0.9938_good_tile_41_15_5.png	normal	0.0058708349242806435	Small
0.9881_good_tile_34_37_2.png	normal	0.04048167169094086	Small
0.8975_good_tile_38_50_0.png	normal	0.2528499662876129	Big
0.8994_good_tile_12_53_4.png	normal	0.01626662164926529	Big
0.8073_good_tile_47_28_6.png	normal	0.08455604314804077	Small
